Date,Open,High,Low,Close,Adj Close,Volume
2017-10-02,91.260002,92.400002,91.239998,91.769997,90.398285,7302400
2017-10-03,91.959999,92.339996,91.559998,92.120003,90.743057,5909900
2017-10-04,92.120003,92.800003,92.019997,92.419998,91.038567,6140700
2017-10-05,92.489998,92.650002,91.940002,92.029999,90.654404,6912800
2017-10-06,92.000000,92.349998,91.879997,92.330002,90.949921,5241900
2017-10-09,92.400002,92.620003,91.930000,92.120003,90.743057,5149000
2017-10-10,92.370003,93.040001,89.860001,91.620003,90.250534,17125600
2017-10-11,91.089996,91.730003,91.070000,91.459999,90.092918,7115400
2017-10-12,91.410004,92.309998,91.389999,92.150002,90.772614,5984900
2017-10-13,92.699997,93.510002,92.589996,93.040001,91.649307,6956700
2017-10-16,92.970001,93.370003,92.709999,93.139999,91.747803,4159100
2017-10-17,93.040001,93.089996,92.400002,92.800003,91.412895,5316100
2017-10-18,92.779999,92.949997,92.010002,92.769997,91.383339,7399700
2017-10-19,91.699997,91.989998,91.139999,91.589996,90.897041,8585000
2017-10-20,89.720001,89.959999,87.589996,88.250000,87.582321,19997800
2017-10-23,88.629997,88.860001,86.870003,87.300003,86.639511,13358200
2017-10-24,87.370003,87.419998,86.779999,86.980003,86.321930,11519000
2017-10-25,86.900002,87.110001,86.279999,86.860001,86.202835,9024300
2017-10-26,87.190002,87.769997,87.099998,87.500000,86.837990,6233800
2017-10-27,87.529999,87.529999,86.449997,87.040001,86.381477,7433800
2017-10-30,86.910004,87.080002,86.160004,86.269997,85.617294,5387100
2017-10-31,86.489998,86.500000,85.720001,86.339996,85.686768,7119000
2017-11-01,86.330002,87.139999,86.110001,86.889999,86.232605,4884100
2017-11-02,86.779999,87.040001,86.230003,86.510002,85.855484,5021200
2017-11-03,86.779999,87.160004,86.459999,86.580002,85.924957,5106500
2017-11-06,86.550003,86.639999,86.029999,86.050003,85.398964,5186700
2017-11-07,86.040001,87.000000,85.419998,86.980003,86.321930,6875100
2017-11-08,86.989998,87.599998,86.800003,87.580002,86.917389,6910000
2017-11-09,87.349998,88.169998,87.300003,87.779999,87.115875,5280000
2017-11-10,87.989998,88.389999,87.779999,88.160004,87.493004,7227300
2017-11-13,88.669998,89.410004,88.629997,89.000000,88.326645,6873500
2017-11-14,88.739998,89.050003,88.470001,88.870003,88.197632,5035500
2017-11-15,88.730003,88.940002,88.000000,88.230003,87.562469,6688100
2017-11-16,89.839996,89.900002,88.769997,89.250000,88.574753,7205100
2017-11-17,88.949997,89.089996,88.080002,88.430000,87.760956,5941800
2017-11-20,88.430000,88.559998,87.709999,88.269997,87.602165,4926200
2017-11-21,88.180000,89.209999,88.019997,88.720001,88.048767,6196400
2017-11-22,88.500000,88.910004,88.059998,88.330002,87.661713,6006900
2017-11-24,88.589996,88.959999,88.419998,88.449997,87.780800,2196700
2017-11-27,88.330002,89.099998,88.150002,88.959999,88.286949,6199700
2017-11-28,89.480003,89.519997,88.910004,89.400002,88.723618,4841300
2017-11-29,89.400002,89.809998,89.029999,89.379997,88.703766,5158900
2017-11-30,89.349998,90.370003,89.209999,89.989998,89.309151,9789900
2017-12-01,90.180000,90.529999,89.120003,90.360001,89.676353,7953200
2017-12-04,91.760002,91.910004,89.830002,91.410004,90.718414,9003700
2017-12-05,91.519997,91.839996,91.070000,91.400002,90.708488,8683000
2017-12-06,91.389999,91.779999,91.070000,91.250000,90.559624,6737400
2017-12-07,91.050003,91.070000,89.889999,90.099998,89.418320,7273600
2017-12-08,90.019997,90.370003,89.580002,90.370003,89.686279,5883400
2017-12-11,90.230003,90.330002,89.750000,90.230003,89.547340,4856000
2017-12-12,90.449997,90.510002,89.820000,89.849998,89.170212,6558900
2017-12-13,90.019997,91.410004,89.970001,90.879997,90.192421,7141000
